district_id,urbanicity,majority_vote,white_share_category,hh_median_income_category,weight,topic_academic_program,topic_safe_and_healthy_environment,topic_parent_and_community_involvement,topic_developing_academic_skills,topic_diversity_equity_and_inclusion,topic_future_readiness,topic_mental_health,word_social,word_emotional,word_confidence,word_curiosity,word_critical_thinking,word_creativity,word_responsibility,word_physical,word_intellectual,word_ethical,word_problem_solving,word_citizen,word_lifelong,word_college,word_career,word_global,word_society,word_partner,word_family,word_community,word_business,word_stakeholder,word_parent,word_safe,word_secure,word_support,word_nurturing,word_trust,word_health,word_caring,word_respectful,word_inclusion,word_diversity,word_equity,word_culture,word_closing_gap,word_race,word_nationality,word_student_centered,word_academic_excellence,word_academic_achievement,word_curriculum,word_extracurricular
0001,urban,democratic,low_share,medium_median_income,1.456,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0002,urban,democratic,low_share,low_median_income,1.456,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0003,urban,republican,low_share,low_median_income,1.456,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0004,suburban,republican,low_share,high_median_income,5.914,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0005,rural_or_town,republican,high_share,medium_median_income,18.086,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0006,rural_or_town,republican,high_share,medium_median_income,18.086,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0007,suburban,democratic,low_share,medium_median_income,5.914,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
0008,suburban,republican,high_share,medium_median_income,5.914,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0009,urban,democratic,low_share,medium_median_income,1.456,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0010,urban,republican,low_share,medium_median_income,1.456,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
